Sl No,CATEGORY,MIN. COURSES #,MIN. CREDITS #,COURSE CODE,COURSE TITLE,CR
127,Professional Elective - 4 (PE4),1,4,22CSB3406M,PROGRAMMING FOR SMART CONTRACTS  ,
128,,,,22SMD3405M,SOFTWARE ARCHITECTURE & DESIGN,
129,,,,22CEC3406M,ADVANCED COMPUTER ARCHITECTURE,
130,,,,22ASS3410M,CYBERSECURITY IN AUTONOMOUS VEHICLE,
131,,,,22CPD3406M,META REACT NATIVE SPECIALIZATION,
132,,,,22GDU3404M,COMPUTER GRAPHICS,
133,,,,22SDM3406M,ETHICAL SOCIAL MEDIA,
134,,,,22DLA3406M,CRYPTOCURRENCY AND BLOCKCHAIN TECHNOLOGY,
135,,,,,,
136,Professional Elective - 5 (PE5),1,3,22CSB3510M,SECURITY GOVERNANCE AND MANAGEMENT,
137,,,,22SMD3506,SOFTWARE RELIABILITY ,3
138,,,,22CSB3510,SECURITY GOVERNANCE AND MANAGEMENT,3
139,,,,22CEC3510,EDGE COMPUTING  ,3
140,,,,22ASS3511,AI DRIVEN ECU DESIGN FOR AUTONOMOUS VEHICLES,3
141,,,,22CPD3507M,ADVANCED MOBILE APPLICATION DEVELOPMENT,
142,,,,22CPD3507,ADVANCED MOBILE APPLICATION DEVELOPMENT,3
143,,,,22GDU3506,PRINCIPLES OF GAME DESIGN ,3
144,,,,22SDM3507,INTELLIGENT SOCIAL MEDIA MONITORING SYSTEMS,3
145,,,,22GDU3506M,PRINCIPLES OF GAME DESIGN ,
146,,,,22SMD3506M,SOFTWARE RELIABILITY ,
147,,,,22DLA3507,DISTRIBUTED LEDGER ARCHITECTURE FOR AUTOMATION,3
148,,,,22CEC3511M,HIGH PERFORMANCE COMPUTING,
149,,,,22SDM3507M,INTELLIGENT SOCIAL MEDIA MONITORING SYSTEMS,
150,,,,,,
151,Flexi Core (FXC),3,9,22CS2223,CLOUD INFRASTRUCTURE AND SERVICES,3
152,,,,22CS2221,UX DESIGN,3
153,,,,22EC2223,FUNDAMENTALS OF ROBOTICS,3
154,,,,22BT2228,CLINICAL DATA SCIENCE,3
155,,,,22CS2233,INTRODUCTION TO BLOCKCHAIN AND CRYPTO CURRENCIES,3
156,,,,22CS2234,NETWORK AND INFRASTRUCTURE SECURITY,3
157,,,,22CS2231,VISUAL PROGRAMMING,3
158,,,,22AD2227,CRYPTOGRAPHY AND SECURITY,3
159,,,,22IN2221,IOT PRINCIPLES AND ARCHITECTURE,3
160,,,,22CS2236,FUNCTIONAL AND CONCURRENT PROGRAMMING,3
161,,,,22CS2237,QUANTUM COMPUTING,3
162,,,,22CI2221,MANAGEMENT INFORMATION SYSTEMS,3
163,,,,22CS2221F,UX DESIGN,3
164,,,,22EC2223F,FUNDAMENTALS OF ROBOTICS,3
165,,,,22CS2231F,VISUAL PROGRAMING ,3
166,,,,22AD2223F,SOFT COMPUTING,
167,,,,22CS2236F,FUNCTIONAL & CONCURRENT PROGRAMMING,
168,,,,22CS2237F,QUANTUM COMPUTING,
169,,,,22CS2240F,.NET PROGRAMMING (EPAM),
170,,,,22EC2231F,ELECTRONICS INSTRUMENTS & AUTOMATION	,
171,,,,22CS2243F,CLOUD DEVOPS (EPAM),
172,,,,22CS2230F,SOLUTIONS ARCHITECTING ON CLOUD,
173,,,,22CS2233F,INTRODUCTION TO BLOCKCHAIN AND CRYPTO CURRENCIES,
174,,,,22CS2224F,CRYPT ANALYSIS & CYBER DEFENSE,
175,,,,22CS2247F,CRYPTOGRAPHY AND SECURITY,
176,,,,22CS2239F,SOFTWARE VERIFICATION & VALIDATION,
177,,,,22AD2222F,NATURAL LANGUAGE PROCESSING,
178,Project (PRI),,,,,
179,,,,,,
180,,,,,,
181,,,,,,
182,,,,,,
183,,,,,,
184,,,,,,
185,,,,,,
186,,,,,,
187,,,,,,
188,,,,,,
189,,,,,,
190,,,,,,
191,Open Elective 1 (OE1),1,3,OEGN0009,COMPETITIVE CODING TRAINING,0
192,,,,OEGN0001,NATIONAL CADET CORPS - 1,3
193,,,,22MT0001,FUNDAMENTALS OF MATHEMATICS,3
194,,,,OEEE4224M,SELF DRIVING CARS,4
195,,,,OEBT0001,IPR AND PATENT LAWS,0
196,,,,OECE0003,SOLID AND HAZARDOUS WASTE MANAGEMENT,3
197,,,,OEEC0011,IMAGE PROCESSING,3
198,,,,OECE0001,ENVIRONMENTAL POLLUTION CONTROL METHODS,3
199,,,,,,
200,,,,,,
201,,,,,,
202,,,,,,
203,,,,,,
204,Open Elective 2 (OE2),1,3,OEGN0002,NATIONAL CADET CORPS - 2,3
205,,,,,,
206,,,,,,
207,,,,,,
208,,,,,,
209,,,,,,
210,,,,,,
211,,,,,,
212,,,,,,
213,,,,,,
214,Open Elective 3 (OE3),1,3,,,
215,,,,,,
216,,,,,,
217,,,,,,
218,,,,,,
219,,,,,,
220,,,,,,
221,,,,,,
222,,,,,,
223,,,,,,
224,Foreign Language Elective (FLE),1,2,22FL3058,JAPANESE LANGUAGE,2
225,,,,22FL3062M,SPANISH,2
226,,,,,,
227,,,,,,
228,Management Elective (ME),1,2,22MB4058,SIX SIGMA YELLOW BELT,4
229,,,,22MB4068,FINANCIAL MANAGEMENT FOR ENGINEERS,2
230,,,,22MB4058M,SIX SIGMA YELLOW BELT,4
231,,,,,,
232,,,,,,
233,,,,,,
234,Audit Courses (AUD),8,0,22UC0009,ECOLOGY & ENVIRONMENT,0
235,,,,22UC0008,INDIAN CONSTITUTION,0
236,,,,22UC0019,ESSENCE OF INDIAN KNOWLEDGE TRADITION,0
237,,,,22UC0016,GENDER AND SOCIAL EQUALITY,0
238,,,,,,
239,,,,,,
240,Value Added Courses (VAC),5,0,21CC3259,GOOGLE TENSORFLOW,0
241,,,,21CC3047,MICROSOFT CERTIFIED: AZURE AI ENGINEER ASSOCIATE,0
242,,,,22CC3061,"JUNIPER NETWORKS CERTIFIED ASSOCIATE, JUNOS",0
243,,,,21CC3004,AWS CERTIFIED CLOUD PRACTITIONER (CLF-C02),0
244,,,,21CC3025,COMPTIA SECURITY+-SY0-701,0
